StockSymbol,Industry,SubIndustry,Ret2000.01,Ret2000.02,Ret2000.03,Ret2000.04,Ret2000.05,Ret2000.06,ret2000.07,Ret2000.08,Ret2000.09,Ret2000.10,Ret2000.11,Ret2000.12,Ret2001.01,Ret2001.02,Ret2001.03,Ret2001.04,Ret2001.05,Ret2001.06,Ret2001.07,Ret2001.08,Ret2001.09,Ret2001.10,Ret2001.11,Ret2001.12,Ret2002.01,Ret2002.02,Ret2002.03,Ret2002.04,Ret2002.05,Ret2002.06,Ret2002.07,Ret2002.08,Ret2002.09,Ret2002.10,Ret2002.11,Ret2002.12,Ret2003.01,Ret2003.02,Ret2003.03,Ret2003.04,Ret2003.05,Ret2003.06,Ret2003.07,Ret2003.08,Ret2003.09,Ret2003.10,Ret2003.11,Ret2003.12,Ret2004.01,Ret2004.02,Ret2004.03,Ret2004.04,Ret2004.05,Ret2004.06,Ret2004.07,Ret2004.08,Ret2004.09,Ret2004.10,Ret2004.11,Ret2004.12,Ret2005.01,Ret2005.02,Ret2005.03,Ret2005.04,Ret2005.05,Ret2005.06,Ret2005.07,Ret2005.08,Ret2005.09,Ret2005.10,Ret2005.11,Ret2005.12,Ret2006.01,Ret2006.02,Ret2006.03,Ret2006.04,Ret2006.05,Ret2006.06,Ret2006.07,Ret2006.08,Ret2006.09,Ret2006.10,Ret2006.11,Ret2006.12,Ret2007.01,Ret2007.02,Ret2007.03,Ret2007.04,Ret2007.05,Ret2007.06,Ret2007.07,Ret2007.08,Ret2007.09,Ret2007.10,Ret2007.11,Ret2007.12,Ret2008.01,Ret2008.02,Ret2008.03,Ret2008.04,Ret2008.05,Ret2008.06,Ret2008.07,Ret2008.08,Ret2008.09,Ret2008.10,Ret2008.11,Ret2008.12,Ret2009.01,Ret2009.02,Ret2009.03,Ret2009.04,Ret2009.05,Ret2009.06,Ret2009.07,Ret2009.08,Ret2009.09,Ret2009.10,Ret2009.11,Ret2009.12,Cluster,CV,annualized_return
SPAN,Healthcare,Medical Appliances & Equipment,0.037142857,0.037142857,0.024590164,0.071428571,-0.098666667,0.038071066,0,0.066666667,-0.03,0.083989501,-0.060532688,0.224226804,0.076,-0.105545617,0.084444444,-0.089068826,0,0.111111111,0.050420168,0,-0.007751938,0.097465887,-0.012433393,-0.028776978,0.164814815,0.19851577,0.3,0.059602649,-0.035248042,0.106944444,-0.08919598,0.027586207,-0.034285714,0.038681948,0.069252078,0.05620915,0.005012531,0.031289111,0.007361963,0.06235012,-0.001141553,-0.023702032,0.185860889,-0.013658537,-0.077151335,0.049409237,0.216080402,0.016260163,0.016613924,0.022376543,0.005891016,-0.109341057,-0.019134775,0.143474503,-0.12582297,-0.044596913,0,0.068138196,0.032315978,0.079584775,-0.04,-0.099166667,-0.05437788,0.094,0.004878049,0.024390244,0.104761905,-0.03030303,-9.74659e-4,-0.096585366,0.142384106,0,0.317241379,0.048743336,7.63942e-4,-0.157575758,0.011754069,-0.022222222,0.153070577,0.043724696,0.048128342,0.003636364,0.014492754,0.042142857,0.16369863,-0.085545723,-0.001882058,0.319924576,0.093333333,0.111842105,-0.135166994,-0.235904375,0.109144543,-0.093333333,-0.110288675,-0.054347826,0.069333333,0.04040404,-0.092378753,0,0.043440487,-0.077868852,0.135371179,-0.012307692,-0.084615385,-0.05511811,-0.15,-0.067647059,0.032660903,-0.168346774,0.021428571,0.293706294,-0.040600177,-0.002764977,0.123974476,-0.009991674,0.087866109,0.032849503,0.242753623,-0.028521537,1,4.105788509446667,1.0405900513677677
NATH,Services,Restaurants,0.14556962,0.117318436,-0.104368932,-0.05801105,-0.083067093,0.12585034,0.065868263,0.008426966,-0.008130081,-0.112021858,-0.140625,0.272727273,0,-0.050561798,-0.020710059,-0.042296072999999997,0.006349206,0.064417178,-0.071428571,-0.032738095,-0.076470588,0.028571429,0.086956522,-0.008498584,-0.005714286,-0.030812325,0.034682081,0.203910615,-0.046189376,-0.043583535,0.031496063,-0.063613232,-0.146341463,0.2,-0.013661202,0.031073446,0,0.011111111,-0.021978022,-0.04494382,0.017647059,0.002881844,0.102777778,0.122194514,-0.037777778,-0.011709602,0.221698113,-0.061913696,0.137254902,0.015517241,0.015734266,-0.033898305,0.057291667,0.053511706,-0.0384,0.025167785,0.03,-0.009983361,0.348949919,-0.103571429,-0.053333333,0.069156293,0.108923885,-0.03030303,0.056050955,0.186335404,-0.053125,0.068075117,-0.005524862,0.005649718,0.111498258,0.094890511,-0.023809524,0.195121951,0.02076412,0.060358891,0.043010753,-0.011713031,-0.003773585,0.023790642,0.050583658,0.068503351,-0.074333801,0.100917431,0.034530387,0.018666667,-0.01310616,-0.039176627,0.028806584,0.133507853,-5.68828e-4,0.004587156,-0.01019796,0.015060241,0.063868613,0.020443925,-0.101619207,0.027131783,-0.130434783,-0.034132171,0.066920152,0.085714286,-0.02853351,0.095205479,-0.006875,-0.003802281,-0.138709677,-0.053571429,0.0734375,-0.146092038,0.004823151,0.172300082,-0.129298487,0.03984375,-0.035608309,-0.003093581,0.128834356,-0.023569024,-0.023432116,0.074647887,2,4.630837849856008,0.934371519874982
STRA,Services,Education & Training Services,0.009410599,0.309559188,-0.016641452,-0.212863706,0.226692836,-0.032648126,-0.061935484,0.043181818,-0.016629213,0.139204545,0.070416667,-0.007378641,0.1024,0.081640058,0.186440678,0.171308017,0.064761905,0.096737908,0.051345756,-0.044334975,-0.080222726,0.09163256,0.00170503,0.039692702,-0.071003489,0.091695108,0.016773659,0.155777869,0.053761533,0.070707071,-0.119047619,-0.002160605,0.073439192,-0.106962664,0.121659503,-0.041826362,-0.019888346,-0.046503309,0.033314512,0.173191413,0.026769231,0.189977562,0.064727364,0.130846655,0.013839379,0.015218967,0.106237624,-0.026391125,0.04014767,-0.045925536,0.070082342,0.072489754,-0.071661757,-0.044450154,-0.150283471,0.15942029,0.100363567,-0.149890495,0.108041237,0.019216487,-0.028066999,-0.010663175,0.064137478,-0.056796202,-0.188432836,-0.016980057,0.138445524,0.021354114,-0.056686627,-0.051599915,0.120844564,-0.062343641,-0.063946729,0.084553029,0.061228726,0.013745369,-0.040885041,-0.028508553,0.116780045,-0.024254768,0.02239229,0.049253316,-0.027053311,-0.032390511,0.066460442,0.035303416,0.067919692,-0.009637595,0.005543504,0.050067767,0.145784499,0.047800394,0.060566038,0.107047438,0.049376269,-0.062541218,0.016911201,-0.097548252,-0.010254413,0.211048066,0.073634459,0.051078377,0.065550239,-0.071463339,-0.03873662,0.102196892,0.058956114,-0.094055013,0.007869982,-0.206738633,0.066971171,0.085630767,-0.032652633,0.162571292,-0.036694335,-0.006401205,0.08239272,-0.069030364,-0.036585366,0.070252304,3,3.4039031392360566,1.1058948957044885
AFAM,Healthcare,Home Health Care,0.169902913,0.062240664,0.09765625,0,-0.021818182,-0.090163934,0.297297297,0.330909091,0.228739003,-0.015748031,-0.034666667,0.141025641,0.140449438,0.078817734,0.397260274,0.053333333,0.142405063,0.038781163,0.37434555,-0.048479087,-0.048106448,0.344940152,0.158238173,0.115384615,-0.01682243,-0.206666667,-0.050420168,-0.090178571,0.095,0.11623439,-0.127118644,-0.190618762,-0.159811986,-0.123626374,-0.153605016,0.314393939,-0.028985507,-0.291101056,-0.079059829,0.218097448,0.16952381,0.268412439,0.064556962,0.031668697,-0.041322314,0.076821192,0.130937099,0.017045455,-0.076404494,0.054892601,-0.095022624,0.00625,0.042746114,0.05625,-0.027218935,0.00250941,0.134770889,-0.004750594,0.489104116,0.269827586,-0.034626039,0.015064562,-0.020422535,-0.061254613,-0.010824313,0.154040404,0.092633115,0.101683029,0.043142305,-0.03125,-0.010967742,0.043024772,-0.068338558,-0.041638684,0.258741259,0.10107284,0.256565657,-0.035742972,-0.00621118,0,-0.017774016,-0.061927606,0.40027637,0.437664042,-0.574120892,0.074731183,0.241276171,-0.286324786,0.293150685,-0.175941781,-0.172342621,0.00128866,0.168495804,0.231835829,-0.11737735,0.005173306,0.020993344,0.1093831,-0.073953488,-0.064755314,0.288126649,0.07561666,0.234962406,0.394079556,-0.140217391,0.218315204,-0.119567394,0.023202912,-0.316186253,-0.329034392,-0.044066099,0.31663113,0.070104754,-0.006037736,0.203795066,-0.144851117,0.087751371,0.021541568,0.190444811,0.083607456,4,3.458030220806689,1.4383469362570693
ACGL,Financial,Property & Casualty Insurance,0.152088258,0.051724138,0.100874243,-0.067272727,0,0.004032258,0.033333333,-0.02,0.032786885,-0.015873016,-0.032258065,-0.003984064,0.037634409,0.053324556,0.016645327,-0.01674938,0.056782334,-0.059701493,0.090614887,0.050445104,-0.069444444,0.394658754,-0.006302521,0.090177815,0.005120126,0.043849437,-0.040520446,0.131885182,0.008488964,-0.053463349,-0.042643923,0.04320298,3.58551e-4,0.003942652,0.080357143,0.027356625,-0.00618691,0.011977986,0.085385353,0.022359518,0.071221772,-0.062702703,-0.011242433,-0.005847953,-0.03077374,0.103385732,0.014827018,0.073236403,0.099824429,-0.035478736,-0.005903188,-0.052606747,-0.043045534,0.031023785,-0.035812672,-0.051567764,0.063643813,-0.033941887,0.036179835,-0.006418485,-0.045974026,0.124423963,-0.031446541,-0.002743142,0.11541344,0.006029477,0.01792432,-0.043372963,0.152987677,-2.01979e-4,0.05979798,0.039096603,-0.015401341,0.037798165,0.019240953,0.052494802,-0.053742169,0.031038668,0.019259755,-0.020377979,0.06206089,0.012440945,0.035819507,0.013491231,-0.043960924,-9.29512e-4,0.061799502,0.065087026,-0.009779614,0.009041591,-0.043394672,0.025410421,0.034334167,0.0098595349999999991,-0.062852538,0.013250756,0.005852962,-0.024084367,0.001604434,0.024804178,-0.006355035,-0.061022229,0.052846142,0.004174464,0.037652742,-0.038063715,-0.041430995,0.064864044,-0.140714286,-0.109204883,0.016226415,0.079798169,-0.009068713,0.050762332,0.048735245,0.042857143,0.039076923,0.002380598,0.037861915,0.01546977,5,3.626636524787852,0.9390275188542501
AMED,Healthcare,Home Health Care,0.642335766,0.19047619,0.049618321,-0.112727273,-0.155737705,0.515463918,0.465986395,-0.085846868,0.04679803,0,-0.123831776,0.24,0,0.372315036,0.090753425,0.14599686,0.344217687,-0.4,-0.093959732,-0.021032505,0.194059406,0.159663866,0.026470588,0.014492754,0.042857143,-0.01910828,0.070967742,-0.024242424,0.125621891,0.145555556,0.00952381,-0.336492891,0.032857143,-0.274285714,0.011811024,0.170542636,-0.211409396,0.008547009,-0.027600849,0.095238095,0.146534653,-0.02417962,0.189141856,0.203592814,0.155,0.217486339,0.232,0.105762217,0.072089947,0.133333333,0.379562044,0.223577236,-0.140689655,0.3216,-0.203641882,0.003878976,0.163106796,0.007666667,0.103586993,-0.013101767,-0.07012666,0.055867769,-0.054982818,-0.012504113,0.003988036,0.22192691,0.060704607,-0.024682124,-0.003576903,-0.02025641,0.118447581,-0.050786517,0.082338902,-0.292902659,0.049848943,-0.044930876,0.080386824,0.057772816,0.008467849,0.01175,-0.015876954,0.024494949,-0.02731562,-0.160837376,-0.020606061,-0.011437403,0.026915769,-0.031809759,0.119111911,-0.029388191,0.036134684,-0.00500395,0.025080043,0.108355091,0.022776313,0.131266029,-0.142080902,-0.001167406,-0.084690554,0.305772624,-0.01454616,-0.001584158,0.266943292,-0.177052729,-0.097868397,0.152165033,-0.33792986,0.087894737,0.003651412,-0.197497547,-0.125636132,0.24176231,-0.089739755,0.074520013,0.342239568,-0.018726592,-0.018889139,-0.095270578,-0.064646465,0.300160514,6,3.7892163594742594,1.3256951836792914
GMCR,Consumer Goods,Processed & Packaged Goods,0.379441624,0.195952162,-0.019230769,0.37254902,0.014285714,-0.031111111,-0.243692661,0.418305598,0.012882448,0.658704883,0.292824822,0.246261216,-0.531100478,0.009337068,-0.164878049,0.487747958,0.220472441,-0.056520366,0.256460582,-0.247509579,-0.219966159,0.002678571,0.115164835,0.086042823,-0.147660819,-0.232577666,0.144432194,0.173664122,-0.00953961,-0.118453865,0.026600985,-0.285714286,-0.140666667,0.056923077,0.11790393,-0.015635179,-0.030987734,-0.067333333,0.312857143,-0.065547129,0.010029499,0.114369501,0.02134305,0.012307692,0.002531646,0.050713934,0.06507791,-0.00130719,-0.131210191,-0.017612524,0.007,0.055885262,-0.053647059,-0.106782107,0.021582734,0.089833244,0.027872861,0.198852772,-0.028328612,0.068085106,-0.013676589,0.033359809,-0.077307692,0.096774194,0.300625489,0.033810539,0.039609814,0.105922551,-0.106831022,0.207878091,-0.023565818,-0.011443876,-0.042739315,0.060786342,-0.03592233,0.002014099,-0.009284818,0.016704632,-0.025710088,-0.020568817,-0.056410256,0.080852226,0.236180905,-4.06091e-4,0.186233193,-0.090038936,0.091774892,-0.034591692,0.106839005,0.159646539,-0.625252781,0.102588997,-0.025829175,0.128593041,-0.11598916,0.258114374,-0.048888889,-0.214267319,0.049751244,0.105010295,0.24595843,-0.111820331,-0.026773762,-0.003549973,0.061521856,-0.257047668,0.258232236,0.064942212,-0.02223358,-0.011381683,0.238709677,0.511180773,0.172394366,-0.270123457,0.152675503,-0.12002924,0.222921497,-0.106231534,-0.043293331,0.282992126,7,4.928340003844362,1.0394404880837271
ITRI,Technology,Scientific & Technical Instruments,0.155115512,0.071428571,-0.082010582,-0.200278164,-0.234910277,0.770386266,-0.160671463,-0.115044248,0.064347826,-0.051612903,-0.298932384,-0.099502488,0.7100271,0.232142857,0.496221662,0.26603935,-0.236666667,0.696779964,0.008479067,0.080949811,0.13960396,0.200684638,0.012544803,0.072946176,-0.089857945,-0.027079304,0.181962654,0.195506372,-0.184602416,-0.095829024,-0.392925798,-0.151914626,0.365256125,0.17688172,0.151046406,-0.247349823,-0.179948586,-0.063125,0.114,0.20747889,0.082171315,-0.010584445,-0.020398702,-0.029245283,-0.035113035,0.019402985,-0.061613692,-0.053120165,0.12962963,-0.074987905,-0.02565445,0.140266667,-0.033255269,0.107142857,-0.170360713,-0.015295359,-0.065345474,0.194523674,0.04488417,0.094279176,-0.039583333,0.151187905,0.107209563,0.218581081,0.132506887,0.079487799,0.08365019,-0.054749745,-0.005662021,-0.042731278,0.080674988,-0.148447469,0.19675,0.241336117,-0.002167389,0.119926507,-0.1179941,-0.015614618,-0.219258514,0.207506471,-0.011689692,-0.020863309,-0.115391705,0.075518672,0.099790116,0.118380062,0.024251969,0.032030651,0.005947955,0.142145369,0.013525584,0.073732136,0.103117222,0.157673667,-0.273400169,0.230542377,-0.136539872,0.147172082,-0.05230543,0.011409323,-0.0242,0.013081994,-0.056894791,0.104028992,-0.147027652,-0.451707758,-0.025503908,0.348994709,0.016658882,-0.275235313,0.079571363,-0.011177988,0.269917283,-0.058954204,-0.049033904,0.034945221,0.167030568,-0.066687393,-0.003115776,0.100667861,8,5.328841121865545,1.0275788057905237
